stop_id,stop_code,stop_name,stop_lat,stop_lon
1800EH35681,MANDAPTJ,Lumb Lane,53.47844747682,-2.13305266764
1800EH35691,MANDAPTM,Audenshaw Metrolink Stop,53.47842000000,-2.13104800000
1800EH35811,MANDAPTP,Margaret Street,53.48659000000,-2.10467000000
1800EH35821,MANDAPTW,Welbeck Street North,53.48709000000,-2.10339000000
1800EH35831,MANDAPWA,Cavendish Street,53.48776000000,-2.10037800000
1800EH35841,MANDAPWD,Cavendish Street,53.48784000000,-2.10052900000
1800EH35861,MANDAPWJ,Kenyon Street,53.48794000000,-2.10691900000
1800EH35871,MANDAPWM,Kenyon Street,53.48808000000,-2.10716100000
1800EH35881,MANDAPWP,Ashton West Metrolink Stop,53.49123000000,-2.10939900000
1800EH35901,MANDAPWT,Knowle Avenue,53.49261000000,-2.11039800000
1800EH35941,MANDATAG,Rothbury Avenue,53.49695000000,-2.11579000000
1800EH35961,MANDATAJ,Windermere Crescent,53.49328000000,-2.10908800000
1800EH35971,MANDATAM,Crowhill Road,53.49347000000,-2.10871200000
1800EH35981,MANDATAP,Ambleside Avenue,53.49572000000,-2.10920000000
1800EH36051,MANDATDA,Knowle Avenue,53.49517000000,-2.10425400000
1800EH36071,MANDATDJ,Clive Street,53.49730000000,-2.10469700000
1800EH36101,MANDATDM,Taunton Green,53.49902000000,-2.10840900000
1800EH36111,MANDATDP,Taunton Green,53.49890000000,-2.10818300000
1800EH36121,MANDATDT,The Clock Shop,53.50007000000,-2.11100500000
1800EH36131,MANDATDW,The Clock Shop,53.49998000000,-2.11108000000
1800EH36141,MANDATGA,Newmarket Grove,53.50015000000,-2.11524100000
1800EH36151,MANDATGD,Newmarket Grove,53.49993000000,-2.11573800000
1800EH36161,MANDATGJ,Daisy Nook,53.50048000000,-2.12056400000
1800EH36171,MANDATGM,Daisy Nook,53.50034000000,-2.12029200000
1800EH36181,MANDATGP,Back Lane,53.49800000000,-2.12346600000
1800EH36191,MANDATGT,Back Lane,53.49832000000,-2.12283400000
1800EH36201,MANDATGW,Willow Bank Farm,53.49616000000,-2.12599300000
1800EH36211,MANDATJA,Willow Bank Farm,53.49617000000,-2.12581200000
1800EH36221,MANDATJD,Andrew Street,53.49438000000,-2.12959000000
1800EH36231,MANDATJG,Cross Lane,53.49432000000,-2.12895700000
1800EH36241,MANDATJM,Cryer Street,53.49190000000,-2.13301900000
1800EH36251,MANDATJP,Cryer Street,53.49203000000,-2.13232600000
1800EH36261,MANDATJT,Littlemoss Road,53.49114630089,-2.13469011873
1800EH36271,MANDATJW,Littlemoss Terminus,53.49081000000,-2.13512600000
1800EH36281,MANDATMA,Moorside Street,53.48869000000,-2.13266300000
1800EH36291,MANDATMD,Littlemoss Road,53.48810000000,-2.13349000000
1800EH36301,MANDATMG,Strawberry Gardens,53.48668000000,-2.13680100000
1800EH36311,MANDATMJ,Strawberry Gardens,53.48662000000,-2.13719200000
1800EH36321,MANDATMP,Thornhill Road,53.48562000000,-2.13857600000
1800EH36331,MANDATMT,Medlock Street,53.48369000000,-2.14153800000
1800EH36341,MANDATMW,Oldham Street,53.48405000000,-2.14090600000
1800EH36351,MANDATPA,Football Ground,53.48195000000,-2.14362600000
1800EH36361,MANDATPD,Football Ground,53.48173000000,-2.14362600000
1800EH36381,MANDATPG,Manchester Road,53.48005000000,-2.14542800000
1800EH36391,MANDATPJ,Shopping Centre,53.48124000000,-2.14591500000
1800EH36401,MANDATPM,Shopping Centre,53.48119000000,-2.14552300000
1800EH36411,MANDATPT,Fiveways,53.48404000000,-2.15008300000
1800EH36421,MANDATPW,Fiveways,53.48415000000,-2.15009900000
1800EH36441,MANDATWA,Springfield Road,53.48753000000,-2.15577700000
1800EH36481,MANDATWM,Greenside Lane,53.48933000000,-2.15656800000
1800EH36491,MANDATWP,Greenside Lane,53.48954000000,-2.15560400000
1800EH36501,MANDATWT,Surrey Avenue,53.48945000000,-2.15408100000
1800EH36511,MANDAWAD,Surrey Avenue,53.48954000000,-2.15376500000
1800EH36521,MANDAWAG,Springfield Road,53.48843000000,-2.14946600000
1800EH36531,MANDAWAJ,Springfield Road,53.48848000000,-2.14918000000
1800EH36541,MANDAWAM,St Stephen's,53.48595000000,-2.14578000000
1800EH36551,MANDAWAP,St Stephen's,53.48576000000,-2.14544800000
1800EH36561,MANDAWAT,Market Street,53.48361000000,-2.14259200000
1800EH36571,MANDAWAW,St Stephen's,53.48623000000,-2.14641400000
1800EH36591,MANDAWDG,Ruskin Road,53.48520000000,-2.14838500000
1800EH36611,MANDAWDJ,Fiveways,53.48400000000,-2.15192200000
1800EH36621,MANDAWDM,Fiveways,53.48409000000,-2.15118400000
1800EH36631,MANDAWDP,Community Centre,53.48307000000,-2.15514300000
1800EH36641,MANDAWDT,Community Centre,53.48289000000,-2.15536900000
